Time,ROI_Name,ROI,Mean_Calcium,Mean_Background,Ratio
102,Airpore Old 1,1,9.231,35.045,0.263404195
102,Airpore Old 2,2,11.726,45.626,0.257002586
102,Airpore Old 3,3,11.267,46.74,0.241056911
102,Airpore Medium 1,4,8.807,37.253,0.23641049
102,Airpore Medium 2,5,8.789,45.861,0.191644317
102,Airpore young 1,6,9.682,41.732,0.232004217
105,background,0,7.091,38.338,0.184960092
105,Airpore Old 1,1,9.92,35.003,0.28340428
105,Airpore Old 2,2,11.392,45.74,0.249059904
105,Airpore Old 3,3,11.441,46.658,0.245209825
105,Airpore Medium 1,4,8.999,37.314,0.241169534
105,Airpore Medium 2,5,8.78,45.783,0.191774239
105,Airpore young 1,6,9.781,41.921,0.233319816
108,background,0,6.984,38.437,0.181699925
108,Airpore Old 1,1,9.644,35.005,0.2755035
108,Airpore Old 2,2,11.521,44.915,0.256506735
108,Airpore Old 3,3,11.621,47.204,0.246186764
108,Airpore Medium 1,4,8.681,37.456,0.231765271
108,Airpore Medium 2,5,9.304,46.373,0.20063399
108,Airpore young 1,6,9.549,42.166,0.226462078
111,background,0,6.784,38.403,0.176652866
111,Airpore Old 1,1,9.028,34.7,0.260172911
111,Airpore Old 2,2,11.399,45.51,0.250472424
111,Airpore Old 3,3,11.444,46.388,0.246701733
111,Airpore Medium 1,4,8.341,37.346,0.223343865
111,Airpore Medium 2,5,9.266,46.095,0.201019633
111,Airpore young 1,6,9.67,42.254,0.228854073
114,background,0,6.933,38.424,0.180434104
114,Airpore Old 1,1,9.136,34.531,0.264573861
114,Airpore Old 2,2,11.38,45.508,0.250065922
114,Airpore Old 3,3,11.519,46.667,0.246833951
114,Airpore Medium 1,4,8.481,36.596,0.231746639
114,Airpore Medium 2,5,9.196,45.747,0.201018646
114,Airpore young 1,6,9.847,42.027,0.234301758
117,background,0,6.823,38.546,0.177009288
117,Airpore Old 1,1,8.805,34.909,0.252227219
117,Airpore Old 2,2,11.372,45.313,0.250965507
117,Airpore Old 3,3,11.743,46.496,0.25255936
117,Airpore Medium 1,4,8.303,36.96,0.224648268
117,Airpore Medium 2,5,8.902,45.847,0.194167557
117,Airpore young 1,6,10.156,42.446,0.239268718
120,background,0,6.831,38.258,0.178550891
120,Airpore Old 1,1,8.602,35.169,0.244590406
120,Airpore Old 2,2,11.352,45.479,0.24960971
120,Airpore Old 3,3,11.154,46.05,0.242214984
120,Airpore Medium 1,4,8.306,37.212,0.223207567
120,Airpore Medium 2,5,9.112,45.322,0.201050263
120,Airpore young 1,6,10.45,42.296,0.247068281
123,background,0,6.891,37.872,0.181955006
123,Airpore Old 1,1,8.461,34.438,0.245687903
123,Airpore Old 2,2,11.231,45.231,0.248303155
123,Airpore Old 3,3,11.108,46.339,0.23971169
123,Airpore Medium 1,4,8.09,36.792,0.219884758
