"Time","ROIName","ROI","Mean_Calcium","Mean_Background","Ratio"
258,"Airpore Old 1",1,6.857,80.624,0.0850491168882715
258,"Airpore Old 2",2,6.97,66.651,0.104574575025131
258,"Airpore Old 3",3,4.57,39.473,0.115775340105895
258,"Airpore Medium 1",4,6.755,56.059,0.120498046700797
258,"Airpore Medium 2",5,5.67,55.303,0.102526083575936
261,"background",0,8.635,74.596,0.115756877044346
261,"Airpore Old 1",1,6.788,79.496,0.0853879440474992
261,"Airpore Old 2",2,6.765,66.116,0.102320164559259
261,"Airpore Old 3",3,4.566,39.722,0.114948894818992
261,"Airpore Medium 1",4,6.882,56.164,0.12253400754932
261,"Airpore Medium 2",5,5.778,54.838,0.105364892957438
264,"background",0,8.731,74.94,0.116506538564185
264,"Airpore Old 1",1,7.054,78.677,0.0896577144527626
264,"Airpore Old 2",2,6.891,66.307,0.103925679038412
264,"Airpore Old 3",3,4.501,38.968,0.115505029768015
264,"Airpore Medium 1",4,6.832,55.974,0.122056669167828
264,"Airpore Medium 2",5,5.861,55.039,0.106488126601137
267,"background",0,8.746,74.911,0.11675187889629
267,"Airpore Old 1",1,6.975,79.444,0.0877976939731131
267,"Airpore Old 2",2,6.74,65.884,0.102301013903224
267,"Airpore Old 3",3,4.683,39.951,0.117218592776151
267,"Airpore Medium 1",4,6.658,56.084,0.118714784965409
267,"Airpore Medium 2",5,5.783,54.763,0.105600496685718
270,"background",0,8.755,75.257,0.116334693118248
270,"Airpore Old 1",1,6.803,78.799,0.0863335829134887
270,"Airpore Old 2",2,6.921,66.383,0.104258620429929
270,"Airpore Old 3",3,4.652,39.569,0.117566782076878
270,"Airpore Medium 1",4,6.986,55.875,0.125029082774049
270,"Airpore Medium 2",5,5.768,54.648,0.105548235983019
273,"background",0,8.702,75.761,0.114861208273386
273,"Airpore Old 1",1,6.71,78.456,0.0855256449474865
273,"Airpore Old 2",2,6.892,65.973,0.104466978915617
273,"Airpore Old 3",3,4.553,40.292,0.11300009927529
273,"Airpore Medium 1",4,6.714,56.03,0.119828663216134
273,"Airpore Medium 2",5,5.748,55.104,0.104311846689895
276,"background",0,8.762,75.973,0.11533044634278
276,"Airpore Old 1",1,6.795,79.781,0.0851706546671513
276,"Airpore Old 2",2,6.699,66.169,0.101240762290499
276,"Airpore Old 3",3,4.562,40.151,0.113621080421409
276,"Airpore Medium 1",4,6.675,56.56,0.118016265912306
276,"Airpore Medium 2",5,5.887,55.63,0.105824195577926
279,"background",0,8.637,76.288,0.113215708892617
279,"Airpore Old 1",1,6.755,78.926,0.0855864987456605
279,"Airpore Old 2",2,6.845,67.368,0.101606103788149
279,"Airpore Old 3",3,4.503,39.905,0.112843002130059
279,"Airpore Medium 1",4,6.884,56.035,0.122851789060409
279,"Airpore Medium 2",5,5.808,55.388,0.104860258539756
282,"background",0,8.84,76.976,0.114840989399293
282,"Airpore Old 1",1,6.619,79.85,0.0828929242329368
282,"Airpore Old 2",2,6.847,66.373,0.103159417232911
282,"Airpore Old 3",3,4.49,39.977,0.112314580884008
282,"Airpore Medium 1",4,6.874,56.727,0.121176864632362
282,"Airpore Medium 2",5,5.847,55.572,0.105214856402505
285,"background",0,8.71,76.676,0.113594866711879
285,"Airpore Old 1",1,6.816,77.986,0.0874003026184187
285,"Airpore Old 2",2,6.645,67.144,0.0989664005719051
285,"Airpore Old 3",3,4.525,39.738,0.113870854094318
285,"Airpore Medium 1",4,6.723,56.33,0.119350257411681
285,"Airpore Medium 2",5,5.583,55.241,0.101066237034087
288,"background",0,8.629,76.322,0.113060454390608
288,"Airpore Old 1",1,6.868,78.968,0.0869719380002026
288,"Airpore Old 2",2,6.818,66.87,0.10195902497383
288,"Airpore Old 3",3,4.578,40.923,0.111868631332014
288,"Airpore Medium 1",4,6.823,55.471,0.12300120783833
288,"Airpore Medium 2",5,5.758,55.354,0.104021389601474
291,"background",0,8.69,76.699,0.113300043025333
291,"Airpore Old 1",1,6.737,78.415,0.0859146846904291
291,"Airpore Old 2",2,7.086,66.787,0.10609849222154
291,"Airpore Old 3",3,4.505,40.481,0.111286776512438
291,"Airpore Medium 1",4,6.975,55.322,0.126080040490221
291,"Airpore Medium 2",5,5.876,54.658,0.107504848329613
294,"background",0,8.657,76.493,0.113173754461193
294,"Airpore Old 1",1,6.773,78.933,0.0858069501982694
294,"Airpore Old 2",2,7.039,65.999,0.106653131108047
294,"Airpore Old 3",3,4.527,40.423,0.111990698364792
294,"Airpore Medium 1",4,6.804,56.131,0.121216440113306
294,"Airpore Medium 2",5,5.697,55.647,0.102377486656963
297,"background",0,8.849,76.619,0.115493545987288
297,"Airpore Old 1",1,6.993,78.266,0.089349142667314
