Time,ROI_Name,ROI,Mean_Calcium,Mean_Background,Ratio
135,Airpore Medium 2,5,8.128,63.163,0.128682931
138,background,0,7.819,53.306,0.146681424
138,Airpore Old 1,1,6.339,65.276,0.09711073
138,Airpore Old 2,2,6.863,59.81,0.114746698
138,Airpore Old 3,3,8.824,47.04,0.187585034
138,Airpore Medium 1,4,5.282,35.272,0.14975051
138,Airpore Medium 2,5,8.122,62.638,0.129665698
141,background,0,7.735,53.018,0.145893847
141,Airpore Old 1,1,6.292,65.943,0.095415738
141,Airpore Old 2,2,6.653,60.275,0.110377437
141,Airpore Old 3,3,9.027,47.417,0.19037476
141,Airpore Medium 1,4,5.508,35.192,0.156512844
141,Airpore Medium 2,5,8.149,62.732,0.129901805
144,background,0,7.771,52.852,0.147033225
144,Airpore Old 1,1,6.526,65.325,0.099900498
144,Airpore Old 2,2,6.894,60.367,0.114201468
144,Airpore Old 3,3,9.219,46.55,0.198045113
144,Airpore Medium 1,4,5.284,34.957,0.151157136
144,Airpore Medium 2,5,8.162,63.398,0.128742232
147,background,0,7.851,53.228,0.147497558
147,Airpore Old 1,1,6.098,66.776,0.091320235
147,Airpore Old 2,2,6.963,60.329,0.115417129
147,Airpore Old 3,3,9.067,47.194,0.19212188
147,Airpore Medium 1,4,5.376,35.56,0.151181102
147,Airpore Medium 2,5,7.991,63.578,0.125688131
150,background,0,7.845,52.89,0.148326716
150,Airpore Old 1,1,6.112,65.37,0.093498547
150,Airpore Old 2,2,6.734,59.781,0.112644486
150,Airpore Old 3,3,8.906,46.46,0.191691778
150,Airpore Medium 1,4,5.184,35.854,0.144586378
150,Airpore Medium 2,5,8.188,63.227,0.129501637
153,background,0,7.832,52.964,0.147874028
153,Airpore Old 1,1,6.176,65.014,0.094994924
153,Airpore Old 2,2,6.871,60.232,0.114075574
153,Airpore Old 3,3,9.224,47.35,0.194804646
153,Airpore Medium 1,4,5.364,35.009,0.153217744
153,Airpore Medium 2,5,8.144,63.088,0.129089526
156,background,0,7.666,52.679,0.145522884
156,Airpore Old 1,1,6.234,65.978,0.094486041
156,Airpore Old 2,2,6.595,59.727,0.110419073
156,Airpore Old 3,3,8.811,46.14,0.190962289
156,Airpore Medium 1,4,5.218,34.447,0.151479084
156,Airpore Medium 2,5,8.132,63.187,0.128697359
159,background,0,7.74,52.588,0.147181867
159,Airpore Old 1,1,6.396,65.457,0.097713002
159,Airpore Old 2,2,6.566,60.016,0.109404159
159,Airpore Old 3,3,8.964,46.621,0.192273868
159,Airpore Medium 1,4,5.318,34.892,0.152413161
159,Airpore Medium 2,5,7.849,63.027,0.12453393
162,background,0,7.757,52.976,0.146424796
162,Airpore Old 1,1,6.192,66.25,0.093464151
162,Airpore Old 2,2,6.482,59.481,0.108975976
162,Airpore Old 3,3,9.017,47.017,0.191781696
162,Airpore Medium 1,4,5.366,34.734,0.154488398
162,Airpore Medium 2,5,8.104,62.672,0.129308144
165,background,0,7.825,52.344,0.149491823
165,Airpore Old 1,1,6.253,65.717,0.095150418
165,Airpore Old 2,2,6.685,59.07,0.113170814
165,Airpore Old 3,3,8.977,47.198,0.190198737
165,Airpore Medium 1,4,5.305,34.985,0.151636416
165,Airpore Medium 2,5,8.113,61.962,0.130935089
168,background,0,7.789,52.905,0.14722616
168,Airpore Old 1,1,6.205,66.661,0.093082912
168,Airpore Old 2,2,6.779,58.797,0.115294998
168,Airpore Old 3,3,9.247,47.115,0.196264459
168,Airpore Medium 1,4,5.415,35.361,0.15313481
168,Airpore Medium 2,5,8.083,62.895,0.12851578
171,background,0,7.78,52.815,0.147306636
171,Airpore Old 1,1,5.886,66.509,0.088499301
171,Airpore Old 2,2,6.69,59.415,0.112597829
171,Airpore Old 3,3,9.048,47.317,0.191220914
171,Airpore Medium 1,4,5.178,35.325,0.146581741
171,Airpore Medium 2,5,8.085,62.251,0.129877432
174,background,0,7.799,52.807,0.147688753
174,Airpore Old 1,1,6.228,65.799,0.094651894
174,Airpore Old 2,2,6.611,59.553,0.111010361
174,Airpore Old 3,3,8.73,46.475,0.187842926
174,Airpore Medium 1,4,5.158,34.669,0.148778448
174,Airpore Medium 2,5,8.478,63.117,0.134321973
177,background,0,7.778,53.032,0.146666164
177,Airpore Old 1,1,6.156,65.664,0.09375
177,Airpore Old 2,2,6.586,59.735,0.11025362
177,Airpore Old 3,3,9.191,46.68,0.196893745
177,Airpore Medium 1,4,5.221,34.998,0.149179953
177,Airpore Medium 2,5,8.117,62.747,0.129360766
180,background,0,7.824,52.664,0.148564484
180,Airpore Old 1,1,6.28,65.149,0.096394419
180,Airpore Old 2,2,6.846,59.58,0.11490433
180,Airpore Old 3,3,9.078,47.407,0.191490708
180,Airpore Medium 1,4,5.349,34.392,0.155530356
180,Airpore Medium 2,5,8.079,62.889,0.128464437
183,background,0,7.933,52.863,0.150067155
183,Airpore Old 1,1,6.326,65.625,0.09639619
183,Airpore Old 2,2,6.789,59.714,0.113691932
183,Airpore Old 3,3,8.878,47.575,0.186610615
183,Airpore Medium 1,4,5.121,34.619,0.14792455
183,Airpore Medium 2,5,7.973,62.513,0.127541471
186,background,0,7.788,52.712,0.147746244
186,Airpore Old 1,1,6.303,65.71,0.095921473
186,Airpore Old 2,2,6.676,59.337,0.112509901
186,Airpore Old 3,3,9.048,46.947,0.19272797
186,Airpore Medium 1,4,5.21,34.904,0.14926656
186,Airpore Medium 2,5,8.265,62.795,0.131618759
189,background,0,7.732,52.576,0.147063299
189,Airpore Old 1,1,6.3,65.582,0.096062944
189,Airpore Old 2,2,6.827,59.221,0.115280053
189,Airpore Old 3,3,8.891,47.155,0.188548404
189,Airpore Medium 1,4,5.198,34.584,0.150300717
189,Airpore Medium 2,5,8.224,62.635,0.131300391
192,background,0,7.661,52.764,0.145193693
192,Airpore Old 1,1,6.089,65.172,0.093429694
192,Airpore Old 2,2,6.803,58.824,0.115650075
192,Airpore Old 3,3,9.132,46.867,0.194849254
192,Airpore Medium 1,4,5.331,34.479,0.154615853
192,Airpore Medium 2,5,8.306,62.415,0.133076985
195,background,0,7.614,52.714,0.144439807
195,Airpore Old 1,1,6.12,65.556,0.093355299
195,Airpore Old 2,2,6.485,58.816,0.110259113
195,Airpore Old 3,3,9.213,47.214,0.1951328
195,Airpore Medium 1,4,5.256,35.046,0.149974319
195,Airpore Medium 2,5,8.268,62.314,0.132682864
198,background,0,7.749,52.608,0.147296989
198,Airpore Old 1,1,6.154,65.791,0.09353863
198,Airpore Old 2,2,6.731,58.391,0.115274614
198,Airpore Old 3,3,8.81,47.063,0.187195886
198,Airpore Medium 1,4,5.041,34.962,0.144185115
198,Airpore Medium 2,5,8.313,62.164,0.133726916
201,background,0,7.642,52.265,0.146216397
201,Airpore Old 1,1,6.214,65.895,0.09430154
201,Airpore Old 2,2,6.803,58.883,0.115534195
201,Airpore Old 3,3,8.98,46.936,0.191324357
201,Airpore Medium 1,4,5.187,34.119,0.15202673
201,Airpore Medium 2,5,8.181,62.242,0.131438578
204,background,0,7.746,52.753,0.146835251
204,Airpore Old 1,1,6.229,65.43,0.095200978
204,Airpore Old 2,2,6.918,59.47,0.11632756
204,Airpore Old 3,3,8.941,47.741,0.187281372
204,Airpore Medium 1,4,5.039,34.412,0.146431477
204,Airpore Medium 2,5,8.223,61.891,0.132862613
207,background,0,7.707,52.571,0.146601739
207,Airpore Old 1,1,6.151,65.533,0.093861108
207,Airpore Old 2,2,6.811,59.133,0.115181033
207,Airpore Old 3,3,8.844,47.019,0.188094175
207,Airpore Medium 1,4,5.345,34.332,0.155685658
207,Airpore Medium 2,5,8.338,62.185,0.134083782
210,background,0,7.745,52.772,0.146763435
210,Airpore Old 1,1,6.192,66.011,0.093802548
210,Airpore Old 2,2,6.858,58.803,0.116626703
210,Airpore Old 3,3,9.067,47.154,0.192284854
210,Airpore Medium 1,4,4.948,34.536,0.14327079
210,Airpore Medium 2,5,8.229,62.838,0.130955791
213,background,0,7.745,52.838,0.146580113
213,Airpore Old 1,1,6.333,65.792,0.096257904
213,Airpore Old 2,2,6.789,58.909,0.115245548
213,Airpore Old 3,3,9.054,47.156,0.192001018
213,Airpore Medium 1,4,5.134,34.342,0.149496244
213,Airpore Medium 2,5,8.417,62.894,0.133828346
216,background,0,7.684,52.938,0.145150931
216,Airpore Old 1,1,6.468,65.353,0.098970208
216,Airpore Old 2,2,6.593,59.059,0.111634129
216,Airpore Old 3,3,8.92,47.434,0.188050765
216,Airpore Medium 1,4,5.088,33.822,0.150434628
216,Airpore Medium 2,5,8.224,62.773,0.131011741
219,background,0,7.639,52.539,0.145396753
219,Airpore Old 1,1,6.19,65.988,0.093804934
219,Airpore Old 2,2,6.78,58.13,0.116635128
219,Airpore Old 3,3,8.896,46.957,0.189449922
219,Airpore Medium 1,4,4.99,34.538,0.144478545
219,Airpore Medium 2,5,8.281,63.258,0.130908344
222,background,0,7.686,52.447,0.146547944
222,Airpore Old 1,1,6.03,66.026,0.091327659
222,Airpore Old 2,2,6.698,58.928,0.113664133
222,Airpore Old 3,3,8.747,46.777,0.186993608
222,Airpore Medium 1,4,5.203,34.456,0.151004179
222,Airpore Medium 2,5,8.177,62.311,0.131228836
225,background,0,7.62,52.68,0.144646925
225,Airpore Old 1,1,6.072,64.841,0.093644453
225,Airpore Old 2,2,6.763,58.722,0.115169783
225,Airpore Old 3,3,8.745,47.141,0.185507308
225,Airpore Medium 1,4,5.155,34.183,0.150805956
225,Airpore Medium 2,5,8.218,62.385,0.131730384
228,background,0,7.531,52.286,0.144034732
228,Airpore Old 1,1,6.311,65.061,0.097001276
228,Airpore Old 2,2,6.739,58.388,0.115417552
228,Airpore Old 3,3,8.994,47.655,0.188731508
228,Airpore Medium 1,4,4.943,34.194,0.144557525
228,Airpore Medium 2,5,8.47,62.535,0.135444151
231,background,0,7.705,52.198,0.14761102
231,Airpore Old 1,1,6.366,65.286,0.09750942
231,Airpore Old 2,2,6.958,58.519,0.118901553
231,Airpore Old 3,3,8.917,47.397,0.18813427
231,Airpore Medium 1,4,5.158,34.14,0.151083773
231,Airpore Medium 2,5,8.189,61.362,0.133453929
234,background,0,7.63,52.362,0.145716359
234,Airpore Old 1,1,6.385,65.981,0.096770282
234,Airpore Old 2,2,6.934,58.74,0.118045625
234,Airpore Old 3,3,8.977,46.871,0.191525677
234,Airpore Medium 1,4,5.052,34.101,0.148148148
234,Airpore Medium 2,5,8.232,62.166,0.132419651
237,background,0,7.705,52.552,0.146616684
237,Airpore Old 1,1,6.176,65.394,0.094442915
237,Airpore Old 2,2,6.76,59.089,0.114403696
237,Airpore Old 3,3,9.145,47.228,0.193635132
237,Airpore Medium 1,4,5.175,33.566,0.154173866
237,Airpore Medium 2,5,8.138,62.648,0.129900396
240,background,0,7.58,52.736,0.14373483
240,Airpore Old 1,1,6.244,65.808,0.094882081
240,Airpore Old 2,2,6.602,58.099,0.113633625
240,Airpore Old 3,3,9.007,46.701,0.192865249
240,Airpore Medium 1,4,5.192,33.739,0.153887193
240,Airpore Medium 2,5,8.272,62.989,0.131324517
243,background,0,7.664,52.843,0.145033401
243,Airpore Old 1,1,6.127,66.074,0.092729364
243,Airpore Old 2,2,6.57,58.888,0.111567722
243,Airpore Old 3,3,9.105,46.656,0.195151749
243,Airpore Medium 1,4,5.134,33.906,0.151418628
243,Airpore Medium 2,5,8.395,62.715,0.133859523
246,background,0,7.73,52.467,0.147330703
246,Airpore Old 1,1,6.139,65.962,0.093068737
246,Airpore Old 2,2,6.72,59.389,0.113152267
246,Airpore Old 3,3,8.955,46.79,0.191387049
246,Airpore Medium 1,4,5.043,34.057,0.148075286
246,Airpore Medium 2,5,8.245,63.765,0.129302909
249,background,0,7.692,52.539,0.146405527
249,Airpore Old 1,1,6.321,66.308,0.095327864
249,Airpore Old 2,2,6.791,58.205,0.116673825
249,Airpore Old 3,3,8.934,48.219,0.185279662
249,Airpore Medium 1,4,5.197,34.104,0.152386817
249,Airpore Medium 2,5,8.212,62.587,0.131209357
252,background,0,7.667,52.65,0.145622032
252,Airpore Old 1,1,6.17,65.698,0.093914579
252,Airpore Old 2,2,6.811,59.027,0.115387873
252,Airpore Old 3,3,8.763,46.965,0.186585755
252,Airpore Medium 1,4,5.017,34.129,0.147001084
252,Airpore Medium 2,5,8.37,62.907,0.133053555
255,background,0,7.676,52.425,0.146418693
255,Airpore Old 1,1,6.014,66.033,0.091075674
255,Airpore Old 2,2,6.661,58.237,0.114377458
255,Airpore Old 3,3,8.851,47.376,0.186824553
255,Airpore Medium 1,4,5.183,33.779,0.153438527
255,Airpore Medium 2,5,8.396,63.135,0.132984874
258,background,0,7.608,52.338,0.145362834
258,Airpore Old 1,1,6.104,65.794,0.092774417
258,Airpore Old 2,2,6.538,58.683,0.111412164
258,Airpore Old 3,3,8.585,48.215,0.178056621
258,Airpore Medium 1,4,5.214,33.847,0.154046149
258,Airpore Medium 2,5,8.4,62.626,0.134129595
261,background,0,7.597,52.401,0.144978149
261,Airpore Old 1,1,6.163,66.737,0.092347573
261,Airpore Old 2,2,6.616,58.338,0.11340807
261,Airpore Old 3,3,9.071,47.574,0.190671375
261,Airpore Medium 1,4,5.097,33.6,0.151696429
261,Airpore Medium 2,5,8.152,62.281,0.130890641
264,background,0,7.624,52.079,0.14639298
