Time,ROI_Name,ROI,Mean_Calcium,Mean_Background,Ratio
336,Airpore Old 2,2,8.93,43.347,0.20601195
336,Airpore Old 3,3,9.497,43.301,0.219325189
336,Airpore Medium 1,4,9.943,42.907,0.23173375
339,background,0,6.133,40.819,0.150248659
339,Airpore Old 1,1,9.186,40.394,0.227410011
339,Airpore Old 2,2,8.711,43.182,0.201727572
339,Airpore Old 3,3,10.004,43.241,0.231354502
339,Airpore Medium 1,4,9.733,43.07,0.225980961
342,background,0,5.999,41.092,0.145989487
342,Airpore Old 1,1,8.992,41.061,0.218991257
342,Airpore Old 2,2,9.003,42.677,0.210956721
342,Airpore Old 3,3,9.671,43.208,0.223824292
342,Airpore Medium 1,4,9.398,43.042,0.218344872
345,background,0,6.131,40.792,0.150299078
345,Airpore Old 1,1,9.098,41.241,0.220605708
345,Airpore Old 2,2,9.105,42.847,0.212500292
345,Airpore Old 3,3,9.409,43.025,0.21868681
345,Airpore Medium 1,4,9.305,43.417,0.214316973
348,background,0,6.128,41.013,0.149416039
348,Airpore Old 1,1,8.966,40.574,0.220978952
348,Airpore Old 2,2,8.958,42.6,0.21028169
348,Airpore Old 3,3,9.525,43.18,0.220588235
348,Airpore Medium 1,4,9.374,43.568,0.215157914
351,background,0,6.016,40.699,0.1478169
351,Airpore Old 1,1,9.041,40.943,0.220819188
351,Airpore Old 2,2,9.046,42.815,0.211281093
351,Airpore Old 3,3,10.095,42.977,0.234893082
351,Airpore Medium 1,4,9.171,43.452,0.211060481
354,background,0,5.818,40.67,0.143053848
354,Airpore Old 1,1,8.892,40.89,0.217461482
354,Airpore Old 2,2,8.721,42.497,0.205214486
354,Airpore Old 3,3,9.721,42.554,0.22843916
354,Airpore Medium 1,4,9.099,42.994,0.211634182
357,background,0,5.964,40.431,0.147510574
357,Airpore Old 1,1,9.022,40.362,0.22352708
357,Airpore Old 2,2,8.821,42.318,0.208445579
357,Airpore Old 3,3,9.577,42.758,0.223981477
357,Airpore Medium 1,4,9.108,42.89,0.212357193
360,background,0,5.967,40.507,0.147307873
360,Airpore Old 1,1,9.061,40.676,0.22276035
360,Airpore Old 2,2,8.754,42.407,0.206428184
360,Airpore Old 3,3,9.631,42.811,0.224965546
360,Airpore Medium 1,4,9.347,42.823,0.218270556
363,background,0,6.075,40.809,0.148864221
363,Airpore Old 1,1,9.039,40.846,0.221294619
363,Airpore Old 2,2,9.031,42.772,0.211142804
363,Airpore Old 3,3,9.488,42.345,0.224064234
363,Airpore Medium 1,4,9.25,42.857,0.215834053
366,background,0,6.044,40.996,0.147429017
366,Airpore Old 1,1,9.462,40.993,0.230819896
366,Airpore Old 2,2,9.071,42.734,0.212266579
366,Airpore Old 3,3,9.465,42.705,0.221636811
366,Airpore Medium 1,4,9.39,42.784,0.21947457
369,background,0,6.113,41.155,0.148536022
369,Airpore Old 1,1,9.328,40.472,0.230480332
369,Airpore Old 2,2,9.031,43.052,0.209769581
369,Airpore Old 3,3,9.353,43.116,0.216926431
369,Airpore Medium 1,4,10.383,43.024,0.24133042
372,background,0,5.865,40.707,0.144078414
372,Airpore Old 1,1,9.555,41.339,0.231137667
372,Airpore Old 2,2,9.353,42.668,0.219204087
372,Airpore Old 3,3,9.475,42.766,0.221554506
372,Airpore Medium 1,4,10.262,43.384,0.236538816
375,background,0,6.118,40.581,0.150760208
375,Airpore Old 1,1,9.161,41.478,0.220864073
375,Airpore Old 2,2,9.875,42.991,0.229699239
375,Airpore Old 3,3,9.854,43.346,0.227333549
375,Airpore Medium 1,4,10.12,43.301,0.233712847
378,background,0,6.127,41.145,0.148912383
378,Airpore Old 1,1,9.11,40.961,0.22240668
378,Airpore Old 2,2,9.553,43.159,0.221344331
378,Airpore Old 3,3,9.649,42.658,0.226194383
378,Airpore Medium 1,4,9.642,43.173,0.223334028
381,background,0,6.089,41.548,0.146553384
381,Airpore Old 1,1,9.019,40.757,0.221287141
381,Airpore Old 2,2,9.255,42.912,0.215673937
381,Airpore Old 3,3,9.941,43.376,0.229182036
381,Airpore Medium 1,4,9.482,43.588,0.217536937
384,background,0,6.076,40.828,0.148819438
384,Airpore Old 1,1,8.896,41.083,0.216537254
384,Airpore Old 2,2,9.071,42.376,0.214059845
384,Airpore Old 3,3,9.485,42.536,0.222987587
384,Airpore Medium 1,4,9.419,43.467,0.216693124
387,background,0,5.992,40.9,0.146503667
387,Airpore Old 1,1,8.946,41.258,0.216830675
387,Airpore Old 2,2,8.987,43.288,0.207609499
387,Airpore Old 3,3,9.552,42.489,0.224811128
387,Airpore Medium 1,4,9.51,43.055,0.220880269
390,background,0,6.067,41.198,0.14726443
390,Airpore Old 1,1,9.168,41.036,0.223413588
390,Airpore Old 2,2,9.121,42.494,0.214642067
390,Airpore Old 3,3,9.903,42.991,0.230350538
390,Airpore Medium 1,4,9.339,43.239,0.215985569
393,background,0,6.12,40.779,0.150077246
393,Airpore Old 1,1,9.137,41.247,0.221519141
393,Airpore Old 2,2,9.063,42.725,0.212124049
393,Airpore Old 3,3,10.353,43.026,0.24062195
393,Airpore Medium 1,4,9.318,43.415,0.214626281
396,background,0,5.994,41.022,0.146116718
396,Airpore Old 1,1,9.136,41.172,0.221898378
396,Airpore Old 2,2,9.093,42.733,0.212786371
396,Airpore Old 3,3,10.303,42.307,0.24352944
396,Airpore Medium 1,4,9.447,42.6,0.221760563
399,background,0,6.171,41.083,0.150208115
399,Airpore Old 1,1,9.047,40.746,0.222034065
399,Airpore Old 2,2,9.029,42.048,0.214730784
399,Airpore Old 3,3,10.147,42.879,0.236642646
