 ,Area,Mean,Min,Max,Ch,Frame
394,1068.017,9.201,0,35,1,40
395,2248.080,6.212,0,39,1,40
396,1068.017,42.275,11,98,2,40
397,1068.017,45.058,11,116,2,40
398,1068.017,45.400,7,109,2,40
399,1068.017,44.243,7,155,2,40
400,2248.080,41.752,3,153,2,40
401,1068.017,9.184,0,40,1,41
402,1068.017,9.138,0,46,1,41
403,1068.017,9.391,0,43,1,41
404,1068.017,9.359,0,50,1,41
405,2248.080,6.185,0,39,1,41
406,1068.017,42.340,7,111,2,41
407,1068.017,44.871,7,124,2,41
408,1068.017,44.663,7,99,2,41
409,1068.017,44.887,7,190,2,41
410,2248.080,41.370,3,134,2,41
411,1068.017,9.243,0,40,1,42
412,1068.017,9.174,0,38,1,42
413,1068.017,8.862,0,42,1,42
414,1068.017,9.205,0,55,1,42
415,2248.080,5.996,0,46,1,42
416,1068.017,41.630,7,104,2,42
417,1068.017,44.875,11,125,2,42
418,1068.017,44.625,11,108,2,42
419,1068.017,44.632,3,149,2,42
420,2248.080,41.628,3,115,2,42
421,1068.017,9.093,0,38,1,43
422,1068.017,9.189,0,43,1,43
423,1068.017,9.308,0,46,1,43
424,1068.017,9.267,0,38,1,43
425,2248.080,6.006,0,35,1,43
426,1068.017,42.035,7,111,2,43
427,1068.017,44.498,3,111,2,43
428,1068.017,44.563,11,136,2,43
429,1068.017,44.569,3,155,2,43
430,2248.080,41.391,3,118,2,43
431,1068.017,9.183,0,39,1,44
432,1068.017,9.106,0,35,1,44
433,1068.017,8.941,0,43,1,44
434,1068.017,9.440,0,39,1,44
435,2248.080,5.979,0,40,1,44
436,1068.017,41.860,3,119,2,44
437,1068.017,44.571,11,109,2,44
438,1068.017,44.471,7,107,2,44
439,1068.017,44.756,7,153,2,44
440,2248.080,41.184,3,123,2,44
441,1068.017,9.055,0,46,1,45
442,1068.017,9.124,0,39,1,45
443,1068.017,8.923,0,42,1,45
444,1068.017,9.365,0,43,1,45
445,2248.080,5.996,0,39,1,45
446,1068.017,41.758,7,112,2,45
447,1068.017,44.554,11,110,2,45
448,1068.017,44.611,7,116,2,45
449,1068.017,44.518,7,155,2,45
450,2248.080,41.437,3,127,2,45
451,1068.017,9.113,0,43,1,46
452,1068.017,9.522,0,51,1,46
453,1068.017,9.173,0,40,1,46
454,1068.017,9.291,0,46,1,46
455,2248.080,6.071,0,31,1,46
456,1068.017,41.319,3,102,2,46
457,1068.017,44.089,11,130,2,46
458,1068.017,44.305,7,143,2,46
459,1068.017,44.820,8,152,2,46
460,2248.080,41.846,3,130,2,46
461,1068.017,9.072,0,46,1,47
462,1068.017,9.530,0,51,1,47
463,1068.017,9.133,0,42,1,47
464,1068.017,9.091,0,38,1,47
465,2248.080,6.092,0,32,1,47
466,1068.017,41.225,3,153,2,47
467,1068.017,44.238,8,111,2,47
468,1068.017,43.992,7,108,2,47
469,1068.017,44.416,3,162,2,47
470,2248.080,41.172,3,115,2,47
471,1068.017,9.035,0,39,1,48
472,1068.017,9.247,0,43,1,48
473,1068.017,9.679,0,46,1,48
474,1068.017,9.096,0,42,1,48
475,2248.080,6.191,0,35,1,48
476,1068.017,40.923,7,103,2,48
477,1068.017,44.427,7,111,2,48
478,1068.017,44.454,8,133,2,48
479,1068.017,44.689,7,156,2,48
480,2248.080,41.475,3,119,2,48
481,1068.017,8.980,0,48,1,49
482,1068.017,9.184,0,39,1,49
483,1068.017,10.123,0,46,1,49
484,1068.017,8.995,0,51,1,49
485,2248.080,6.068,0,35,1,49
486,1068.017,41.354,7,115,2,49
487,1068.017,44.003,11,166,2,49
488,1068.017,44.349,8,100,2,49
489,1068.017,44.728,7,174,2,49
490,2248.080,41.426,3,127,2,49
491,1068.017,9.013,0,43,1,50
492,1068.017,9.147,0,43,1,50
493,1068.017,9.677,0,47,1,50
494,1068.017,9.197,0,40,1,50
495,2248.080,6.092,0,31,1,50
496,1068.017,41.504,7,135,2,50
497,1068.017,44.073,7,127,2,50
498,1068.017,44.229,3,115,2,50
499,1068.017,44.434,7,145,2,50
500,2248.080,41.605,7,137,2,50
501,1068.017,8.953,0,43,1,51
502,1068.017,9.276,0,40,1,51
503,1068.017,9.624,0,43,1,51
504,1068.017,9.194,0,57,1,51
505,2248.080,6.141,0,32,1,51
506,1068.017,41.823,7,173,2,51
507,1068.017,44.581,7,135,2,51
508,1068.017,44.208,7,116,2,51
509,1068.017,44.120,3,139,2,51
510,2248.080,41.617,0,148,2,51
511,1068.017,8.977,0,35,1,52
512,1068.017,9.261,0,43,1,52
513,1068.017,9.414,0,50,1,52
514,1068.017,9.217,0,46,1,52
515,2248.080,6.091,0,31,1,52
516,1068.017,41.712,3,104,2,52
517,1068.017,44.564,12,111,2,52
518,1068.017,43.685,7,108,2,52
519,1068.017,44.161,7,172,2,52
520,2248.080,41.727,0,160,2,52
521,1068.017,8.883,0,44,1,53
522,1068.017,9.246,0,46,1,53
523,1068.017,9.368,0,47,1,53
524,1068.017,9.000,0,42,1,53
525,2248.080,6.088,0,35,1,53
526,1068.017,41.452,7,100,2,53
527,1068.017,44.069,11,115,2,53
528,1068.017,44.445,8,119,2,53
529,1068.017,44.948,7,153,2,53
530,2248.080,42.064,0,255,2,53
531,1068.017,8.986,0,47,1,54
532,1068.017,9.247,0,39,1,54
533,1068.017,9.398,0,40,1,54
534,1068.017,9.178,0,43,1,54
535,2248.080,6.144,0,43,1,54
536,1068.017,41.287,7,96,2,54
537,1068.017,43.850,7,109,2,54
538,1068.017,44.142,7,135,2,54
539,1068.017,44.560,7,151,2,54
540,2248.080,41.474,3,122,2,54
