 ,Area,Mean,Min,Max,Ch,Frame
700,3181.805,38.925,7,170,2,50
701,1896.544,8.157,0,40,1,51
702,1832.281,11.253,0,43,1,51
703,1832.281,11.274,0,59,1,51
704,1832.281,8.249,0,40,1,51
705,1832.281,9.129,0,43,1,51
706,1477.267,9.387,0,43,1,51
707,3181.805,6.961,0,31,1,51
708,1896.544,34.632,3,117,2,51
709,1832.281,45.113,11,138,2,51
710,1832.281,47.040,7,115,2,51
711,1832.281,37.297,3,117,2,51
712,1832.281,46.096,11,149,2,51
713,1477.267,42.389,8,157,2,51
714,3181.805,37.923,3,127,2,51
715,1896.544,8.508,0,51,1,52
716,1832.281,11.538,0,40,1,52
717,1832.281,11.198,0,51,1,52
718,1832.281,8.400,0,35,1,52
719,1832.281,8.839,0,43,1,52
720,1477.267,9.163,0,39,1,52
721,3181.805,6.767,0,35,1,52
722,1896.544,34.669,0,111,2,52
723,1832.281,45.263,8,143,2,52
724,1832.281,46.295,7,116,2,52
725,1832.281,37.181,0,111,2,52
726,1832.281,46.347,7,126,2,52
727,1477.267,42.356,11,91,2,52
728,3181.805,38.410,3,124,2,52
729,1896.544,8.749,0,54,1,53
730,1832.281,11.174,0,62,1,53
731,1832.281,10.762,0,43,1,53
