"","ROI","Area","Mean","Min","Max","Channel","Frame","Time","SensorName","ROIName"
"292",2,1068.017,9.709,0,43,1,30,87,"GFP","Airpore Old 2"
"293",3,1068.017,9.217,0,39,1,30,87,"GFP","Airpore Old 3"
"294",4,1068.017,9.877,0,46,1,30,87,"GFP","Airpore Medium 1"
"295",5,2248.08,6.22,0,39,1,30,87,"GFP","background"
"296",1,1068.017,42.193,7,112,2,30,87,"RFP","Airpore Old 1"
"297",2,1068.017,45.38,3,184,2,30,87,"RFP","Airpore Old 2"
"298",3,1068.017,46.009,7,111,2,30,87,"RFP","Airpore Old 3"
"299",4,1068.017,45.241,3,143,2,30,87,"RFP","Airpore Medium 1"
"300",5,2248.08,41.611,0,115,2,30,87,"RFP","background"
"301",1,1068.017,9.598,0,46,1,31,90,"GFP","Airpore Old 1"
"302",2,1068.017,9.391,0,46,1,31,90,"GFP","Airpore Old 2"
"303",3,1068.017,9.491,0,43,1,31,90,"GFP","Airpore Old 3"
"304",4,1068.017,9.664,0,46,1,31,90,"GFP","Airpore Medium 1"
"305",5,2248.08,6.138,0,39,1,31,90,"GFP","background"
"306",1,1068.017,42.014,7,111,2,31,90,"RFP","Airpore Old 1"
"307",2,1068.017,45.442,11,130,2,31,90,"RFP","Airpore Old 2"
"308",3,1068.017,46.38,7,127,2,31,90,"RFP","Airpore Old 3"
"309",4,1068.017,44.971,7,120,2,31,90,"RFP","Airpore Medium 1"
"310",5,2248.08,41.352,3,120,2,31,90,"RFP","background"
"311",1,1068.017,9.84,0,47,1,32,93,"GFP","Airpore Old 1"
"312",2,1068.017,9.398,0,55,1,32,93,"GFP","Airpore Old 2"
"313",3,1068.017,9.318,0,46,1,32,93,"GFP","Airpore Old 3"
"314",4,1068.017,9.973,0,41,1,32,93,"GFP","Airpore Medium 1"
"315",5,2248.08,6.097,0,31,1,32,93,"GFP","background"
"316",1,1068.017,41.987,8,108,2,32,93,"RFP","Airpore Old 1"
"317",2,1068.017,45.18,11,115,2,32,93,"RFP","Airpore Old 2"
"318",3,1068.017,45.931,11,157,2,32,93,"RFP","Airpore Old 3"
"319",4,1068.017,44.14,7,134,2,32,93,"RFP","Airpore Medium 1"
"320",5,2248.08,41.252,3,127,2,32,93,"RFP","background"
"321",1,1068.017,10.163,0,79,1,33,96,"GFP","Airpore Old 1"
"322",2,1068.017,9.377,0,82,1,33,96,"GFP","Airpore Old 2"
"323",3,1068.017,9.299,0,39,1,33,96,"GFP","Airpore Old 3"
"324",4,1068.017,9.702,0,55,1,33,96,"GFP","Airpore Medium 1"
"325",5,2248.08,6.201,0,54,1,33,96,"GFP","background"
"326",1,1068.017,42.353,7,107,2,33,96,"RFP","Airpore Old 1"
"327",2,1068.017,45.295,7,130,2,33,96,"RFP","Airpore Old 2"
"328",3,1068.017,45.602,7,144,2,33,96,"RFP","Airpore Old 3"
"329",4,1068.017,45.115,3,142,2,33,96,"RFP","Airpore Medium 1"
"330",5,2248.08,41.505,3,121,2,33,96,"RFP","background"
"331",1,1068.017,9.855,0,51,1,34,99,"GFP","Airpore Old 1"
"332",2,1068.017,9.1,0,39,1,34,99,"GFP","Airpore Old 2"
"333",3,1068.017,9.201,0,43,1,34,99,"GFP","Airpore Old 3"
"334",4,1068.017,9.476,0,47,1,34,99,"GFP","Airpore Medium 1"
"335",5,2248.08,6.236,0,70,1,34,99,"GFP","background"
"336",1,1068.017,42.399,3,112,2,34,99,"RFP","Airpore Old 1"
"337",2,1068.017,44.854,11,131,2,34,99,"RFP","Airpore Old 2"
"338",3,1068.017,45.811,8,111,2,34,99,"RFP","Airpore Old 3"
"339",4,1068.017,44.73,7,162,2,34,99,"RFP","Airpore Medium 1"
"340",5,2248.08,41.264,3,148,2,34,99,"RFP","background"
"341",1,1068.017,9.468,0,54,1,35,102,"GFP","Airpore Old 1"
"342",2,1068.017,9.519,0,54,1,35,102,"GFP","Airpore Old 2"
"343",3,1068.017,9.061,0,50,1,35,102,"GFP","Airpore Old 3"
"344",4,1068.017,9.605,0,43,1,35,102,"GFP","Airpore Medium 1"
"345",5,2248.08,6.21,0,46,1,35,102,"GFP","background"
"346",1,1068.017,42.147,3,103,2,35,102,"RFP","Airpore Old 1"
"347",2,1068.017,44.304,7,115,2,35,102,"RFP","Airpore Old 2"
"348",3,1068.017,45.357,7,173,2,35,102,"RFP","Airpore Old 3"
"349",4,1068.017,43.936,0,118,2,35,102,"RFP","Airpore Medium 1"
"350",5,2248.08,41.355,3,140,2,35,102,"RFP","background"
"351",1,1068.017,9.278,0,48,1,36,105,"GFP","Airpore Old 1"
"352",2,1068.017,9.264,0,43,1,36,105,"GFP","Airpore Old 2"
"353",3,1068.017,9.245,0,43,1,36,105,"GFP","Airpore Old 3"
"354",4,1068.017,9.391,0,43,1,36,105,"GFP","Airpore Medium 1"
"355",5,2248.08,6.133,0,46,1,36,105,"GFP","background"
"356",1,1068.017,42.145,8,122,2,36,105,"RFP","Airpore Old 1"
"357",2,1068.017,45.032,8,115,2,36,105,"RFP","Airpore Old 2"
"358",3,1068.017,45.491,3,123,2,36,105,"RFP","Airpore Old 3"
"359",4,1068.017,44.762,7,157,2,36,105,"RFP","Airpore Medium 1"
"360",5,2248.08,41.078,3,132,2,36,105,"RFP","background"
"361",1,1068.017,9.379,0,50,1,37,108,"GFP","Airpore Old 1"
"362",2,1068.017,9.228,0,39,1,37,108,"GFP","Airpore Old 2"
"363",3,1068.017,9.113,0,43,1,37,108,"GFP","Airpore Old 3"
"364",4,1068.017,9.465,0,42,1,37,108,"GFP","Airpore Medium 1"
"365",5,2248.08,6.235,0,35,1,37,108,"GFP","background"
