"Sample","Time","ROI_Name","Mean_Calcium","Mean_Background","Ratio","File_Name"
"cngc3",219,"Airpore Medium 2",8.281,63.258,0.130908344,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",222,"background",7.686,52.447,0.146547944,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",222,"Airpore Old 1",6.03,66.026,0.091327659,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",222,"Airpore Old 2",6.698,58.928,0.113664133,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",222,"Airpore Old 3",8.747,46.777,0.186993608,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",222,"Airpore Medium 1",5.203,34.456,0.151004179,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",222,"Airpore Medium 2",8.177,62.311,0.131228836,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",225,"background",7.62,52.68,0.144646925,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",225,"Airpore Old 1",6.072,64.841,0.093644453,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",225,"Airpore Old 2",6.763,58.722,0.115169783,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",225,"Airpore Old 3",8.745,47.141,0.185507308,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",225,"Airpore Medium 1",5.155,34.183,0.150805956,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",225,"Airpore Medium 2",8.218,62.385,0.131730384,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",228,"background",7.531,52.286,0.144034732,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",228,"Airpore Old 1",6.311,65.061,0.097001276,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",228,"Airpore Old 2",6.739,58.388,0.115417552,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",228,"Airpore Old 3",8.994,47.655,0.188731508,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",228,"Airpore Medium 1",4.943,34.194,0.144557525,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",228,"Airpore Medium 2",8.47,62.535,0.135444151,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",231,"background",7.705,52.198,0.14761102,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",231,"Airpore Old 1",6.366,65.286,0.09750942,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",231,"Airpore Old 2",6.958,58.519,0.118901553,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
