"ROI","Area","Mean","Min","Max","Channel","Frame","Time","SensorName","ROIName"
4,1832.281,7.902,0,31,1,28,81,"GFP","Airpore Medium 1"
5,1832.281,8.736,0,40,1,28,81,"GFP","Airpore Medium 2"
6,1477.267,9.827,0,46,1,28,81,"GFP","Airpore young 1"
7,3181.805,6.885,0,32,1,28,81,"GFP","background"
1,1896.544,34.288,3,116,2,28,81,"RFP","Airpore Old 1"
2,1832.281,45.272,7,138,2,28,81,"RFP","Airpore Old 2"
3,1832.281,46.314,7,138,2,28,81,"RFP","Airpore Old 3"
4,1832.281,36.786,3,116,2,28,81,"RFP","Airpore Medium 1"
5,1832.281,45.722,11,135,2,28,81,"RFP","Airpore Medium 2"
6,1477.267,41.782,11,133,2,28,81,"RFP","Airpore young 1"
7,3181.805,37.89,7,132,2,28,81,"RFP","background"
1,1896.544,8.001,0,34,1,29,84,"GFP","Airpore Old 1"
