"Time","ROIName","ROI","Mean_Calcium","Mean_Background","Ratio"
399,"Airpore Medium 1",4,4.905,32.711,0.149949558252576
399,"Airpore Medium 2",5,8.103,64.049,0.126512513856579
402,"background",0,7.299,52.813,0.138204608713764
402,"Airpore Old 1",1,5.956,67.44,0.0883155397390273
402,"Airpore Old 2",2,6.564,59.31,0.110672736469398
402,"Airpore Old 3",3,8.495,48.159,0.176394858697232
402,"Airpore Medium 1",4,4.61,32.642,0.141229091354696
402,"Airpore Medium 2",5,8.175,64.477,0.126789397769747
405,"background",0,7.525,52.935,0.142155473694153
405,"Airpore Old 1",1,5.974,67.286,0.0887851856255387
405,"Airpore Old 2",2,6.737,58.122,0.115911358865834
405,"Airpore Old 3",3,8.68,48.215,0.180026962563518
405,"Airpore Medium 1",4,4.707,32.996,0.142653654988483
405,"Airpore Medium 2",5,7.824,64.7,0.120927357032457
408,"background",0,7.483,52.467,0.142622982064917
408,"Airpore Old 1",1,6.255,67.252,0.0930083863676917
408,"Airpore Old 2",2,6.628,58.551,0.11320045772062
408,"Airpore Old 3",3,8.86,47.821,0.185274251897702
408,"Airpore Medium 1",4,4.912,33.224,0.14784493137491
408,"Airpore Medium 2",5,8.26,64.759,0.127549838632468
411,"background",0,7.375,52.819,0.139627785455991
411,"Airpore Old 1",1,6.029,66.696,0.0903952261005158
411,"Airpore Old 2",2,6.691,59.436,0.112574870448886
411,"Airpore Old 3",3,8.868,48.441,0.183068062178733
411,"Airpore Medium 1",4,4.591,32.557,0.141014221212028
411,"Airpore Medium 2",5,8.085,64.069,0.126192074170035
414,"background",0,7.509,52.545,0.142906080502426
414,"Airpore Old 1",1,6.201,66.956,0.0926130593225402
414,"Airpore Old 2",2,6.348,58.39,0.108717246103785
414,"Airpore Old 3",3,8.866,48.547,0.182627144828723
414,"Airpore Medium 1",4,4.662,32.921,0.141611737189028
414,"Airpore Medium 2",5,8.106,64.844,0.125007710813645
417,"background",0,7.447,52.505,0.141834111037044
417,"Airpore Old 1",1,5.871,66.681,0.0880460700949296
417,"Airpore Old 2",2,6.374,58.551,0.108862359310686
417,"Airpore Old 3",3,8.716,47.847,0.182163981022844
417,"Airpore Medium 1",4,4.664,32.304,0.144378405151065
417,"Airpore Medium 2",5,8.216,63.664,0.129052525760241
420,"background",0,7.349,52.253,0.140642642527702
420,"Airpore Old 1",1,6.102,66.156,0.0922365318338473
420,"Airpore Old 2",2,6.736,59.098,0.113980168533622
420,"Airpore Old 3",3,8.458,47.648,0.177510073875084
420,"Airpore Medium 1",4,4.681,32.565,0.143743282665438
420,"Airpore Medium 2",5,8.19,64.37,0.127233183159857
423,"background",0,7.471,52.431,0.142492037153592
423,"Airpore Old 1",1,6.02,66.913,0.0899675698294801
